200.0 0.0 0.0 0.0 0.0 0.0
201.0 0.0 0.0 0.0 0.0 0.0
202.0 0.0 0.0 0.0 0.0 0.0
203.0 0.0 0.0 0.0 0.0 0.0
204.0 0.0 0.0 0.0 0.0 0.0
205.0 0.0 0.0 0.0 0.0 0.0
206.0 0.0 0.0 0.0 0.0 0.0
207.0 0.0 0.0 0.0 0.0 0.0
208.0 0.0 0.0 0.0 0.0 0.0
209.0 0.0 0.0 0.0 0.0 0.0
210.0 0.0 0.0 0.0 0.0 0.0
211.0 0.0 0.0 0.0 0.0 0.0
212.0 0.0 0.0 0.0 0.0 0.0
213.0 0.0 0.0 0.0 0.0 0.0
214.0 0.0 0.0 0.0 0.0 0.0
215.0 0.0 0.0 0.0 0.0 0.0
216.0 0.0 0.0 0.0 0.0 0.0
217.0 0.0 0.0 0.0 0.0 0.0
218.0 0.0 0.0 0.0 0.0 0.0
219.0 0.0 0.0 0.0 0.0 0.0
220.0 0.0 0.0 0.0 0.0 0.0
221.0 0.0 0.0 0.0 0.0 0.0
222.0 0.0 0.0 0.0 0.0 0.0
223.0 0.0 0.0 0.0 0.0 0.0
224.0 0.0 0.0 0.0 0.0 0.0
225.0 0.0 0.0 0.0 0.0 0.0
226.0 0.0 0.0 0.0 0.0 0.0
227.0 0.0 0.0 0.0 0.0 0.0
228.0 0.0 0.0 0.0 0.0 0.0
229.0 0.0 0.0 0.0 0.0 0.0
230.0 0.0 0.0 0.0 0.0 0.0
231.0 0.0 0.0 0.0 0.0 0.0
232.0 0.0 0.0 0.0 0.0 0.0
233.0 0.0 0.0 0.0 0.0 0.0
234.0 0.0 0.0 0.0 0.0 0.0
235.0 0.0 0.0 0.0 0.0 0.0
236.0 0.0 0.0 0.0 0.0 0.0
237.0 0.0 0.0 0.0 0.0 0.0
238.0 0.0 0.0 0.0 0.0 0.0
239.0 0.0 0.0 0.0 0.0 0.0
240.0 0.0 0.0 0.0 0.0 0.0
241.0 0.0 0.0 0.0 0.0 0.0
242.0 0.0 0.0 0.0 0.0 0.0
243.0 0.0 0.0 0.0 0.0 0.0
244.0 0.0 0.0 0.0 0.0 0.0
245.0 0.0 0.0 0.0 0.0 0.0
246.0 0.0 0.0 0.0 0.0 0.0
247.0 0.0 0.0 0.0 0.0 0.0
248.0 0.0 0.0 0.0 0.0 0.0
249.0 0.0 0.0 0.0 0.0 0.0
250.0 0.0 0.0 0.0 0.0 0.0
251.0 0.0 0.0 0.0 0.0 0.0
252.0 0.0 0.0 0.0 0.0 0.0
253.0 0.0 0.0 0.0 0.0 0.0
254.0 0.0 0.0 0.0 0.0 0.0
255.0 0.0 0.0 0.0 0.0 0.0
256.0 0.0 0.0 0.0 0.0 0.0
257.0 0.0 0.0 0.0 0.0 0.0
258.0 0.0 0.0 0.0 0.0 0.0
259.0 0.0 0.0 0.0 0.0 0.0
260.0 0.0 0.0 0.0 0.0 0.0
261.0 0.0 0.0 0.0 0.0 0.0
262.0 0.0 0.0 0.0 0.0 0.0
263.0 0.0 0.0 0.0 0.0 0.0
264.0 0.0 0.0 0.0 0.0 0.0
265.0 0.0 0.0 0.0 0.0 0.0
266.0 0.0 0.0 0.0 0.0 0.0
267.0 0.0 0.0 0.0 0.0 0.0
268.0 0.0 0.0 0.0 0.0 0.0
269.0 0.0 0.0 0.0 0.0 0.0
270.0 0.0 0.0 0.0 0.0 0.0
271.0 0.0 0.0 0.0 0.0 0.0
272.0 0.0 0.0 0.0 0.0 0.0
273.0 0.0 0.0 0.0 0.0 0.0
274.0 0.0 0.0 0.0 0.0 0.0
275.0 0.0 0.0 0.0 0.0 0.0
276.0 0.0 0.0 0.0 0.0 0.0
277.0 0.0 0.0 0.0 0.0 0.0
278.0 0.0 0.0 0.0 0.0 0.0
279.0 0.0 0.0 0.0 0.0 0.0
280.0 0.0 0.0 0.0 0.0 0.0
281.0 0.0 0.0 0.0 0.0 0.0
282.0 0.0 0.0 0.0 0.0 0.0
283.0 0.0 0.0 0.0 0.0 0.0
284.0 0.0 0.0 0.0 0.0 0.0
285.0 0.0 0.0 0.0 0.0 0.0
286.0 0.0 0.0 0.0 0.0 0.0
287.0 0.0 0.0 0.0 0.0 0.0
288.0 0.0 0.0 0.0 0.0 0.0
289.0 0.0 0.0 0.0 0.0 0.0
290.0 0.0 0.0 0.0 0.0 0.0
291.0 0.0 0.0 0.0 0.0 0.0
292.0 0.0 0.0 0.0 0.0 0.0
293.0 0.0 0.0 0.0 0.0 0.0
294.0 0.0 0.0 0.0 0.0 0.0
295.0 0.0 0.0 0.0 0.0 0.0
296.0 0.0 0.0 0.0 0.0 0.0
297.0 0.0 0.0 0.0 0.0 0.0
298.0 0.0 0.0 0.0 0.0 0.0
299.0 0.0 0.0 0.0 0.0 0.0
300.0 0.0 0.0 0.0 0.0 0.0
301.0 0.0 0.0 0.0 0.0 0.0
302.0 0.0 0.0 0.0 0.0 0.0
303.0 0.0 0.0 0.0 0.0 0.0
304.0 0.0 0.0 0.0 0.0 0.0
305.0 0.0 0.0 0.0 0.0 0.0
306.0 0.0 0.0 0.0 0.0 0.0
307.0 0.0 0.0 0.0 0.0 0.0
308.0 0.0 0.0 0.0 0.0 0.0
309.0 0.0 0.0 0.0 0.0 0.0
310.0 0.0 0.0 0.0 0.0 0.0
311.0 0.0 0.0 0.0 0.0 0.0
312.0 0.0 0.0 0.0 0.0 0.0
313.0 0.0 0.0 0.0 0.0 0.0
314.0 0.0 0.0 0.0 0.0 0.0
315.0 0.0 0.0 0.0 0.0 0.0
316.0 0.0 0.0 0.0 0.0 0.0
317.0 0.0 0.0 0.0 0.0 0.0
318.0 0.0 0.0 0.0 0.0 0.0
319.0 0.0 0.0 0.0 0.0 0.0
320.0 0.0 0.0 0.0 0.0 0.0
321.0 0.0 0.0 0.0 0.0 0.0
322.0 0.0 0.0 0.0 0.0 0.0
323.0 0.0 0.0 0.0 0.0 0.0
324.0 0.0 0.0 0.0 0.0 0.0
325.0 0.0 0.0 0.0 0.0 0.0
326.0 0.0 0.0 0.0 0.0 0.0
327.0 0.0 0.0 0.0 0.0 0.0
328.0 0.0 0.0 0.0 0.0 0.0
329.0 0.0 0.0 0.0 0.0 0.0
330.0 0.0 0.0 0.0 0.0 0.0
331.0 0.0 0.0 0.0 0.0 0.0
332.0 0.0 0.0 0.0 0.0 0.0
333.0 0.0 0.0 0.0 0.0 0.0
334.0 0.0 0.0 0.0 0.0 0.0
335.0 0.0 0.0 0.0 0.0 0.0
336.0 0.0 0.0 0.0 0.0 0.0
337.0 0.0 0.0 0.0 0.0 0.0
338.0 0.0 0.0 0.0 0.0 0.0
339.0 0.0 0.0 0.0 0.0 0.0
340.0 0.0 0.0 0.0 0.0 0.0
341.0 0.0 0.0 0.0 0.0 0.0
342.0 0.0 0.0 0.0 0.0 0.0
343.0 0.0 0.0 0.0 0.0 0.0
344.0 0.0 0.0 0.0 0.0 0.0
345.0 0.0 0.0 0.0 0.0 0.0
346.0 0.0 0.0 0.0 0.0 0.0
347.0 0.0 0.0 0.0 0.0 0.0
348.0 0.0 0.0 0.0 0.0 0.0
349.0 0.0 0.0 0.0 0.0 0.0
350.0 0.0 0.0 0.0 0.0 0.0
351.0 0.0 0.0 0.0 0.0 0.0
352.0 0.0 0.0 0.0 0.0 0.0
353.0 0.0 0.0 0.0 0.0 0.0
354.0 0.0 0.0 0.0 0.0 0.0
355.0 0.0 0.0 0.0 0.0 0.0
356.0 0.0 0.0 0.0 0.0 0.0
357.0 0.0 0.0 0.0 0.0 0.0
358.0 0.0 0.0 0.0 0.0 0.0
359.0 0.0 0.0 0.0 0.0 0.0
360.0 0.0 0.0 0.0 0.0 0.0
361.0 0.0 0.0 0.0 0.0 0.0
362.0 0.0 0.0 0.0 0.0 0.0
363.0 0.0 0.0 0.0 0.0 0.0
364.0 0.0 0.0 0.0 0.0 0.0
365.0 0.0 0.0 0.0 0.0 0.0
366.0 0.0 0.0 0.0 0.0 0.0
367.0 0.0 0.0 0.0 0.0 0.0
368.0 0.0 0.0 0.0 0.0 0.0
369.0 0.0 0.0 0.0 0.0 0.0
370.0 0.0 0.0 0.0 0.0 0.0
371.0 0.0 0.0 0.0 0.0 0.0
372.0 0.0 0.0 0.0 0.0 0.0
373.0 0.0 0.0 0.0 0.0 0.0
374.0 0.0 0.0 0.0 0.0 0.0
375.0 0.0 0.0 0.0 0.0 0.0
376.0 0.0 0.0 0.0 0.0 0.0
377.0 0.0 0.0 0.0 0.0 0.0
378.0 0.0 0.0 0.0 0.0 0.0
379.0 0.0 0.0 0.0 0.0 0.0
380.0 0.0 0.0 0.0 0.0 0.0
381.0 0.0 0.0 0.0 0.0 0.0
382.0 0.0 0.0 0.0 0.0 0.0
383.0 0.0 0.0 0.0 0.0 0.0
384.0 0.0 0.0 0.0 0.0 0.0
385.0 0.0 0.0 0.0 0.0 0.0
386.0 0.0 0.0 0.0 0.0 0.0
387.0 0.0 0.0 0.0 0.0 0.0
388.0 0.0 0.0 0.0 0.0 0.0
389.0 0.0 0.0 0.0 0.0 0.0
390.0 0.0 0.0 0.0 0.0 0.0
391.0 0.0 0.0 0.0 0.0 0.0
392.0 0.0 0.0 0.0 0.0 0.0
393.0 0.0 0.0 0.0 0.0 0.0
394.0 0.0 0.0 0.0 0.0 0.0
395.0 0.0 0.0 0.0 0.0 0.0
396.0 0.0 0.0 0.0 0.0 0.0
397.0 0.0 0.0 0.0 0.0 0.0
398.0 0.0 0.0 0.0 0.0 0.0
399.0 0.0 0.0 0.0 0.0 0.0
400.0 0.0 0.0 0.0 0.0 0.0
401.0 0.0 0.0 0.0 0.0 0.0
402.0 0.0 0.0 0.0 0.0 0.0
403.0 0.0 0.0 0.0 0.0 0.0
404.0 0.0 0.0 0.0 0.0 0.0
405.0 0.0 0.0 0.0 0.0 0.0
406.0 0.0 0.0 0.0 0.0 0.0
407.0 0.0 0.0 0.0 0.0 0.0
408.0 0.0 0.0 0.0 0.0 0.0
409.0 0.0 0.0 0.0 0.0 0.0
410.0 0.0 0.0 0.0 0.0 0.0
411.0 0.0 0.0 0.0 0.0 0.0
412.0 0.0 0.0 0.0 0.0 0.0
413.0 0.0 0.0 0.0 0.0 0.0
414.0 0.0 0.0 0.0 0.0 0.0
415.0 0.0 0.0 0.0 0.0 0.0
416.0 0.0 0.0 0.0 0.0 0.0
417.0 0.0 0.0 0.0 0.0 0.0
418.0 0.0 0.0 0.0 0.0 0.0
419.0 0.0 0.0 0.0 0.0 0.0
420.0 0.0 0.0 0.0 0.0 0.0
421.0 0.0 0.0 0.0 0.0 0.0
422.0 0.0 0.0 0.0 0.0 0.0
423.0 0.0 0.0 0.0 0.0 0.0
424.0 0.0 0.0 0.0 0.0 0.0
425.0 0.0 0.0 0.0 0.0 0.0
426.0 0.0 0.0 0.0 0.0 0.0
427.0 0.0 0.0 0.0 0.0 0.0
428.0 0.0 0.0 0.0 0.0 0.0
429.0 0.0 0.0 0.0 0.0 0.0
430.0 0.0 0.0 0.0 0.0 0.0
431.0 0.0 0.0 0.0 0.0 0.0
432.0 0.0 0.0 0.0 0.0 0.0
433.0 0.0 0.0 0.0 0.0 0.0
434.0 0.0 0.0 0.0 0.0 0.0
435.0 0.0 0.0 0.0 0.0 0.0
436.0 0.0 0.0 0.0 0.0 0.0
437.0 0.0 0.0 0.0 0.0 0.0
438.0 0.0 0.0 0.0 0.0 0.0
439.0 0.0 0.0 0.0 0.0 0.0
440.0 0.0 0.0 0.0 0.0 0.0
441.0 0.0 0.0 0.0 0.0 0.0
442.0 0.0 0.0 0.0 0.0 0.0
443.0 0.0 0.0 0.0 0.0 0.0
444.0 0.0 0.0 0.0 0.0 0.0
445.0 0.0 0.0 0.0 0.0 0.0
446.0 0.0 0.0 0.0 0.0 0.0
447.0 0.0 0.0 0.0 0.0 0.0
448.0 0.0 0.0 0.0 0.0 0.0
449.0 0.0 0.0 0.0 0.0 0.0
450.0 0.0 0.0 0.0 0.0 0.0
451.0 0.0 0.0 0.0 0.0 0.0
452.0 1.0447840352783426e-16 6.363285013938467e-18 4.805004842827565e-21 1.4197265013873398e-63 1.6610690709477544e-19
453.0 1.0443865182768367e-16 6.400280180764149e-18 4.910245935102003e-21 1.837926790611643e-63 1.68422624899539e-19
454.0 1.0439883204973579e-16 6.4373101144832464e-18 5.017300749561934e-21 2.376603416227795e-63 1.707597889975947e-19
455.0 1.0435894455112885e-16 6.474374114112867e-18 5.126190932593156e-21 3.0696826393441684e-63 1.7311847026924155e-19
456.0 1.043189896820624e-16 6.5114714813929695e-18 5.236938240803885e-21 3.960424379607879e-63 1.75498738779548e-19
457.0 1.0427896778574871e-16 6.548601520781897e-18 5.349564539847742e-21 5.103929471072106e-63 1.7790066377492655e-19
458.0 1.0423887919836465e-16 6.585763539451279e-18 5.464091803231664e-21 6.570304134015486e-63 1.8032431367978476e-19
459.0 1.0419872424898447e-16 6.6229568472791676e-18 5.580542111108083e-21 8.448649656355362e-63 1.8276975609322108e-19
460.0 2.0831700651906512e-16 1.3320361513687692e-17 1.1397875298106711e-20 2.1704174246675686e-62 3.704741155716569e-19
461.0 2.082364330894444e-16 1.3394869166832192e-17 1.1638601413661817e-20 2.7848158056722883e-62 3.754525693930908e-19
462.0 2.0815572882402897e-16 1.3469435289904397e-17 1.1883307354282369e-20 3.569274827198641e-62 3.8047500385923316e-19
463.0 2.0807489432310597e-16 1.3544058524169667e-17 1.2132038108712068e-20 4.5697963989347e-62 3.8554154750316006e-19
464.0 3.119908952583858e-16 2.042810627434583e-17 1.8577258299722108e-20 8.766804788163344e-62 5.859784907651306e-19
465.0 3.118692554132867e-16 2.054020637700592e-17 1.89626325229779e-20 1.1200409879482188e-61 5.937112020673284e-19
466.0 3.1174742278304143e-16 2.065238608005691e-17 1.9354248207809405e-20 1.429449489220357e-61 6.015106403699152e-19
467.0 4.155005309050291e-16 2.7686191169646827e-17 2.6336232024815016e-20 2.429896105649121e-61 8.125026511127464e-19
